_step,eval_loss,train_loss,smoothed_loss,lr
365,,4.5342,4.6142,0.000541
366,,4.5779,4.6161,0.000542
366,,4.5779,4.6161,0.000542
367,,4.5049,4.6052,0.000544
367,,4.5049,4.6052,0.000544
368,,4.5242,4.591,0.000545
368,,4.5242,4.591,0.000545
369,,4.3262,4.5568,0.000547
369,,4.3262,4.5568,0.000547
370,,4.552,4.5508,0.000548
370,,4.552,4.5508,0.000548
371,,4.603,4.5479,0.00055
371,,4.603,4.5479,0.00055
372,,4.4954,4.5393,0.000551
372,,4.4954,4.5393,0.000551
373,,4.4363,4.5196,0.000553
373,,4.4363,4.5196,0.000553
374,,4.4431,4.4997,0.000554
374,,4.4431,4.4997,0.000554
375,,4.4966,4.4959,0.000556
375,,4.4966,4.4959,0.000556
376,,4.4617,4.4843,0.000557
376,,4.4617,4.4843,0.000557
377,,4.3557,4.4694,0.000559
377,,4.3557,4.4694,0.000559
378,,4.3391,4.4509,0.00056
